Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,YouTube,Широта,Долгота,2GIS URL
Яндекс.Маркет,постамат,Постаматы,"улица Грайвороновская, 12 к1",,109518,,Текстильщики район,Москва,,Москва,Россия,,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.719393,37.732088,https://2gis.com/firm/70000001063154039
Почта России,почтомат,Постаматы,,,105120,,Басманный район,Москва,,Москва,Россия,Пн: 05:30-01:00; Вт: 05:30-01:00; Ср: 05:30-01:00; Чт: 05:30-01:00; Пт: 05:30-01:00; Сб: 05:30-01:00; Вс: 05:30-01:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.756188,37.659844,https://2gis.com/firm/70000001061539482
Яндекс.Маркет,постамат,Постаматы,"Ленинградский проспект, 75 к1а",цокольный этаж,125057,,Сокол район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.803938,37.513137,https://2gis.com/firm/70000001052025521
PickPoint,постамат,Постаматы,"Головинское шоссе, 5",3 этаж,125212,,Головинский район,Москва,,Москва,Россия,Пн: 09:00-02:00; Вт: 09:00-02:00; Ср: 09:00-02:00; Чт: 09:00-02:00; Пт: 09:00-02:00; Сб: 09:00-02:00; Вс: 09:00-02:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.840377,37.492126,https://2gis.com/firm/70000001037851116
Почта России,почтомат,Постаматы,"улица Сретенка, вход метро №1",,127051,,Мещанский район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.772287,37.632129,https://2gis.com/firm/70000001055607117
Cainiao,постамат,Постаматы,"проспект Мира, 5",1 этаж; репетиционная база Hendrix studio,129090,,Мещанский район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,84951621088 (единая справочная: пн-вс 7:00-21:00),88002344899 (единая справочная: пн-вс 7:00-21:00),,http://cainiao.ru,,,,,,55.774164,37.631849,https://2gis.com/firm/70000001060605576
Почта России,почтомат,Постаматы,"Донская улица, 3",1 этаж,119049,,Якиманка район,Москва,,Москва,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-18:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.726664,37.610291,https://2gis.com/firm/70000001059644119
Почта России,почтомат,Постаматы,"Новослободская, 16",цокольный этаж,127055,,Тверской район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.781915,37.599124,https://2gis.com/firm/70000001061114870
СберЛогистика,постамат,Постаматы,"Валовая улица, 8/18",,115054,,Замоскворечье район,Москва,,Москва,Россия,Пн: 08:30-19:30; Вт: 08:30-19:30; Ср: 08:30-19:30; Чт: 08:30-19:30; Пт: 08:30-19:30; Сб: 09:00-17:00; Вс: 11:00-17:00,+03:00,88001007269 (единый номер: пн-вс 09:00-21:00),,,http://sberlogistics.ru/?utm_source=posto&utm_medium=2gis&utm_campaign=geo&utm_content=click,,,,https://vk.com/sberlogistic,,55.730899,37.632165,https://2gis.com/firm/70000001062270774
PickPoint,постамат,Постаматы,"улица Красная Пресня, 4",2 этаж; ресторан Бургер Кинг,123242,,Пресненский район,Москва,,Москва,Россия,Пн: 06:00-03:00; Вт: 06:00-03:00; Ср: 06:00-03:00; Чт: 06:00-03:00; Пт: 06:00-03:00; Сб: 06:00-03:00; Вс: 06:00-03:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.761187,37.576013,https://2gis.com/firm/70000001046502220
PickPoint,постамат,Постаматы,"Большая Тульская улица, 2",-1 этаж,115191,,Даниловский район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.710139,37.620965,https://2gis.com/firm/70000001021412121
PickPoint,постамат,Постаматы,"Бутырская улица, 6",1 этаж; ресторан Бургер Кинг,127015,,Бутырский район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.795835,37.585005,https://2gis.com/firm/70000001046502287
Почта России,почтомат,Постаматы,"Автозаводская улица, 18",-1 этаж,115280,,Даниловский район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.704871,37.642531,https://2gis.com/firm/70000001062261413
Яндекс.Маркет,постамат,Постаматы,"улица Студенческая, 44",,121165,,Дорогомилово район,Москва,,Москва,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.738761,37.538052,https://2gis.com/firm/70000001064887702
PickPoint,постамат,Постаматы,"Большая Дорогомиловская улица, 10",1 этаж,121059,,Дорогомилово район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.74631,37.562533,https://2gis.com/firm/70000001057385800
OZON box,автоматизированный пункт выдачи,Постаматы,"улица Мастеркова, 6",2 этаж,115280,,Даниловский район,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.708332,37.657188,https://2gis.com/firm/70000001062336074
Почта России,Пунк выдачи посылок,Постаматы,"Новоалексеевская улица, 13",1 этаж,129626,,Алексеевский район,Москва,,Москва,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-18:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.810027,37.647096,https://2gis.com/firm/70000001059750356
Почта России,почтомат,Постаматы,"Ленинская Слобода, 19 ст2",1 этаж,115280,,Даниловский район,Москва,,Москва,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.707906,37.655232,https://2gis.com/firm/70000001063324638
PickPoint,постамат,Постаматы,"проспект Лихачёва, 15",1 этаж,115280,,Даниловский район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.699468,37.646076,https://2gis.com/firm/70000001059696963
OmniCDEK,постамат,Постаматы,"улица Цандера, 7а к2",цокольный этаж; зоомагазин Четыре Лапы,129075,,Останкинский район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,88007753553,,,http://omnicdek.com,http://cdek.ru,http://omnicdek.ru,,https://vk.com/cdek_express,,55.818237,37.630212,https://2gis.com/firm/70000001059724586
PickPoint,постамат,Постаматы,"Ярославская, 10 к2",1 этаж; около лифта,129366,,Алексеевский район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.820588,37.647908,https://2gis.com/firm/70000001048644019
OZON box,автоматизированный пункт выдачи,Постаматы,"проспект Андропова, 8",3 этаж; парк Радуга Кино,115432,,Даниловский район,Москва,,Москва,Россия,Пн: 09:00-02:00; Вт: 09:00-02:00; Ср: 09:00-02:00; Чт: 09:00-02:00; Пт: 09:00-02:00; Сб: 09:00-02:00; Вс: 09:00-02:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.696116,37.664551,https://2gis.com/firm/70000001040739244
